time="2022-06-05T19:54:44+03:00" level=info msg="create router" func="main.main()" file="app.go, 15"
time="2022-06-05T19:54:44+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 18"
time="2022-06-05T19:59:05+03:00" level=info msg="create router" func="main.main()" file="app.go, 14"
time="2022-06-05T19:59:05+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 17"
time="2022-06-05T19:59:05+03:00" level=info msg="start application" func="main.start()" file="app.go, 26"
time="2022-06-05T19:59:05+03:00" level=info msg="server is listening 0.0.0.0:1234" func="main.start()" file="app.go, 37"
time="2022-06-05T23:21:07+03:00" level=info msg="create router" func="main.main()" file="app.go, 19"
time="2022-06-05T23:21:07+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-05T23:21:07+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 24"
time="2022-06-05T23:21:07+03:00" level=info msg="start application" func="main.start()" file="app.go, 33"
time="2022-06-05T23:21:07+03:00" level=info msg="listen tcp" func="main.start()" file="app.go, 53"
time="2022-06-05T23:21:07+03:00" level=info msg="server is listening :10000" func="main.start()" file="app.go, 65"
time="2022-06-05T23:22:25+03:00" level=info msg="create router" func="main.main()" file="app.go, 19"
time="2022-06-05T23:22:25+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-05T23:22:25+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 24"
time="2022-06-05T23:22:25+03:00" level=info msg="start application" func="main.start()" file="app.go, 33"
time="2022-06-05T23:22:25+03:00" level=info msg="listen tcp" func="main.start()" file="app.go, 53"
time="2022-06-05T23:23:06+03:00" level=info msg="create router" func="main.main()" file="app.go, 19"
time="2022-06-05T23:23:06+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-05T23:23:06+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 24"
time="2022-06-05T23:23:06+03:00" level=info msg="start application" func="main.start()" file="app.go, 33"
time="2022-06-05T23:23:06+03:00" level=info msg="listen tcp" func="main.start()" file="app.go, 53"
time="2022-06-05T23:23:06+03:00" level=info msg="server is listening :10000" func="main.start()" file="app.go, 65"
time="2022-06-05T23:23:32+03:00" level=info msg="create router" func="main.main()" file="app.go, 19"
time="2022-06-05T23:23:32+03:00" level=info msg="read application configuration" func="first-rest/internal/config.GetConfig.func1()" file="config.go, 24"
time="2022-06-05T23:23:32+03:00" level=info msg="register user handler" func="main.main()" file="app.go, 24"
time="2022-06-05T23:23:32+03:00" level=info msg="start application" func="main.start()" file="app.go, 33"
time="2022-06-05T23:23:32+03:00" level=info msg="listen tcp" func="main.start()" file="app.go, 53"
time="2022-06-05T23:23:32+03:00" level=info msg="server is listening 0.0.0.0:10000" func="main.start()" file="app.go, 65"
time="2022-06-05T23:25:30+03:00" level=info msg="create router" func="main.main()" file="app.go, 19"
